cve_id	vendor	product	version	update	start_incl	start_excl	end_incl	end_excl	cvss_score	cvss_severity	cvss_version
CVE-2007-4725	7-zip	7-zip	*	*			4.42		6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.43	beta					6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.44	beta					6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.45	beta					6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.46	beta					6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.47	beta					6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.48	beta					6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.49	beta					6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.50	beta					6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.51	beta					6.8	MEDIUM	2.0
CVE-2007-4725	7-zip	7-zip	4.52	beta					6.8	MEDIUM	2.0
CVE-2008-6536	7-zip	7-zip	*	beta			4.56		10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	3.13	*					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.20	*					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.23	*					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.24	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.25	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.26	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.27	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.28	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.29	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.30	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.31	*					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.32	*					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.33	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.34	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.35	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.36	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.37	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.38	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.39	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.40	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.41	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.42	*					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.43	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.44	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.45	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.46	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.47	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.48	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.49	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.50	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.51	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.52	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.53	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.54	beta					10.0	HIGH	2.0
CVE-2008-6536	7-zip	7-zip	4.55	beta					10.0	HIGH	2.0
CVE-2016-2334	7-zip	7-zip	*	*			15.14		7.8	HIGH	3.0
CVE-2016-2335	7-zip	7-zip	9.20	*					8.8	HIGH	3.0
CVE-2016-2335	7-zip	7-zip	15.05	beta					8.8	HIGH	3.0
CVE-2016-7804	7-zip	7-zip	*	*			16.02		7.8	HIGH	3.0
CVE-2017-17969	7-zip	7-zip	*	*				18.00	7.8	HIGH	3.0
CVE-2018-10115	7-zip	7-zip	*	*			18.03		7.8	HIGH	3.0
CVE-2018-10172	7-zip	7-zip	*	*			18.01		8.8	HIGH	3.0
CVE-2018-5996	7-zip	7-zip	*	*				18.00	7.8	HIGH	3.0
CVE-2022-29072	7-zip	7-zip	*	*			21.07		7.8	HIGH	3.1
CVE-2022-47111	7-zip	7-zip	22.01	*					2.5	LOW	3.1
CVE-2022-47112	7-zip	7-zip	22.01	*					2.5	LOW	3.1
CVE-2023-31102	7-zip	7-zip	*	*				22.01	7.8	HIGH	3.1
CVE-2023-40481	7-zip	7-zip	22.01	*					7.8	HIGH	3.0
CVE-2024-11477	7-zip	7-zip	*	*				24.07	7.8	HIGH	3.1
CVE-2024-11612	7-zip	7-zip	*	*	24.06			24.08	6.5	MEDIUM	3.0
CVE-2025-0411	7-zip	7-zip	*	*				24.09	7.0	HIGH	3.1
CVE-2025-11001	7-zip	7-zip	24.09	*					7.8	HIGH	3.1
CVE-2025-11002	7-zip	7-zip	24.09	*					7.8	HIGH	3.1
CVE-2025-53816	7-zip	7-zip	*	*				25.00	7.5	HIGH	3.1
CVE-2025-53817	7-zip	7-zip	*	*				25.00	7.5	HIGH	3.1
CVE-2025-55188	7-zip	7-zip	*	*				25.01	3.6	LOW	3.1
CVE-2026-14266	7-zip	7-zip	*	*				26.02	7.8	HIGH	3.1
CVE-2026-48092	7-zip	7-zip	*	*	9.34			26.01	4.3	MEDIUM	3.1
CVE-2026-48095	7-zip	7-zip	*	*				26.01	8.8	HIGH	3.1
CVE-2026-48101	7-zip	7-zip	*	*	9.21			26.01	6.5	MEDIUM	3.1
CVE-2026-48102	7-zip	7-zip	*	*	9.11			26.01	3.1	LOW	3.1
CVE-2026-48103	7-zip	7-zip	*	*	9.34			26.01	4.3	MEDIUM	3.1
CVE-2026-48104	7-zip	7-zip	*	*	9.18			26.01	4.2	MEDIUM	3.1
CVE-2026-48111	7-zip	7-zip	*	*	9.21			26.01	4.3	MEDIUM	3.1
CVE-2026-48112	7-zip	7-zip	*	*	9.34			26.01	6.5	MEDIUM	3.1
CVE-2026-58052	7-zip	7-zip	*	*			26.01		3.3	LOW	3.1
CVE-1999-0045	apache	http_server	0.8.11	*					7.5	HIGH	2.0
CVE-1999-0045	apache	http_server	0.8.14	*					7.5	HIGH	2.0
CVE-1999-0045	apache	http_server	1.0	*					7.5	HIGH	2.0
CVE-1999-0045	apache	http_server	1.0.2	*					7.5	HIGH	2.0
CVE-1999-0045	apache	http_server	1.0.3	*					7.5	HIGH	2.0
CVE-1999-0045	apache	http_server	1.0.5	*					7.5	HIGH	2.0
CVE-1999-0045	apache	http_server	1.1	*					7.5	HIGH	2.0
CVE-1999-0067	apache	http_server	1.0.3	*					10.0	HIGH	2.0
CVE-1999-0070	apache	http_server	*	*				1.3.0	5.0	MEDIUM	2.0
CVE-1999-0071	apache	http_server	1.1.1	*					7.5	HIGH	2.0
CVE-1999-0107	apache	http_server	0.8.11	*					5.0	MEDIUM	2.0
CVE-1999-0107	apache	http_server	0.8.14	*					5.0	MEDIUM	2.0
CVE-1999-0107	apache	http_server	1.0	*					5.0	MEDIUM	2.0
CVE-1999-0107	apache	http_server	1.0.2	*					5.0	MEDIUM	2.0
CVE-1999-0107	apache	http_server	1.0.3	*					5.0	MEDIUM	2.0
CVE-1999-0107	apache	http_server	1.0.5	*					5.0	MEDIUM	2.0
CVE-1999-0107	apache	http_server	1.1	*					5.0	MEDIUM	2.0
CVE-1999-0107	apache	http_server	1.1.1	*					5.0	MEDIUM	2.0
CVE-1999-0107	apache	http_server	1.2.5	*					5.0	MEDIUM	2.0
CVE-1999-0236	apache	http_server	*	*				1.0	7.5	HIGH	3.1
CVE-1999-0289	apache	http_server	-	*					5.0	MEDIUM	2.0
CVE-1999-0678	apache	http_server	-	*					5.0	MEDIUM	2.0
CVE-1999-0926	apache	http_server	1.2.5	*					10.0	HIGH	2.0
CVE-1999-1053	apache	http_server	1.3.9	*					7.5	HIGH	2.0
CVE-1999-1199	apache	http_server	*	*			1.3.1		10.0	HIGH	2.0
CVE-1999-1237	apache	http_server	-	*					10.0	HIGH	2.0
CVE-1999-1293	apache	http_server	*	*			1.2.5		10.0	HIGH	2.0
CVE-1999-1412	apache	http_server	-	*					5.0	MEDIUM	2.0
CVE-2000-0505	apache	http_server	1.3.6	*					5.0	MEDIUM	2.0
CVE-2000-0505	apache	http_server	1.3.9	*					5.0	MEDIUM	2.0
CVE-2000-0505	apache	http_server	1.3.11	*					5.0	MEDIUM	2.0
CVE-2000-0505	apache	http_server	1.3.12	*					5.0	MEDIUM	2.0
CVE-2000-0868	apache	http_server	1.3.12	*					5.0	MEDIUM	2.0
CVE-2000-0869	apache	http_server	1.3.12	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	0.8.11	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	0.8.14	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	1.0	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	1.0.2	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	1.0.3	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	1.0.5	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	1.1	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	1.1.1	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	1.3.11	*					5.0	MEDIUM	2.0
CVE-2000-0913	apache	http_server	1.3.12	*					5.0	MEDIUM	2.0
CVE-2000-1204	apache	http_server	1.3.9	*					5.0	MEDIUM	2.0
CVE-2000-1204	apache	http_server	1.3.11	*					5.0	MEDIUM	2.0
CVE-2000-1204	apache	http_server	1.3.12	*					5.0	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.0	*					4.3	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.1	*					4.3	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.2	*					4.3	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.3	*					4.3	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.4	*					4.3	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.5	*					4.3	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.6	*					4.3	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.7	*					4.3	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.8	*					4.3	MEDIUM	2.0
CVE-2000-1205	apache	http_server	1.3.9	*					4.3	MEDIUM	2.0
